iters,procs,time
100,1,3.5690131025641025
100,1,3.453291153846155
100,2,1.5945078124999998
100,2,1.5851831875
100,3,1.1058384285714287
100,3,1.1515729285714287
100,4,1.0653736923076922
100,4,1.0694466923076922
100,5,1.1390272727272728
100,5,1.2015567999999999
100,6,1.0472779285714284
100,6,0.9538401538461536
100,7,1.1252331875000001
100,7,1.169812266666667
100,8,1.1490874999999998
100,8,1.1509825
200,1,5.444364000000002
200,1,5.574393083333333
200,2,3.2188931249999997
200,2,3.154795142857143
200,3,2.3459294999999996
200,3,2.472606555555556
200,4,1.9547208181818179
200,4,1.9446040000000004
200,5,2.467362
200,5,2.5882376428571425
200,6,2.4396445
200,6,2.284883785714286
200,7,2.2183109166666672
200,7,2.232844333333333
200,8,2.380241857142857
200,8,2.351587071428572
300,1,8.466525888888889
300,1,9.249755125
300,2,4.768078
300,2,4.6849627499999995
300,3,3.2380486428571422
300,3,3.3206415714285713
300,4,3.6964645000000003
300,4,3.296374
300,5,3.29985175
300,5,3.1110468333333334
300,6,3.2726056923076925
300,6,3.3068248333333337
300,7,3.4903982307692307
300,7,3.434141916666666
300,8,3.5956296249999995
300,8,3.3276485
400,1,13.975071846153845
400,1,13.925723249999999
400,2,7.521574846153845
400,2,7.661363583333333
400,3,5.1835903846153855
400,3,4.998768999999999
400,4,3.5366227777777772
400,4,3.7188190000000008
400,5,4.8464817
400,5,4.6393664
400,6,5.543976
400,6,5.2095692
400,7,4.4939811
400,7,4.476511777777777
400,8,5.011482888888889
400,8,5.0481195
500,1,12.618604428571428
500,1,12.768679538461539
500,2,8.559058846153848
500,2,8.168811999999999
500,3,6.396733363636363
500,3,6.6363009
500,4,5.549456208333335
500,4,5.32656775
500,5,6.282919499999999
500,5,6.017919666666668
500,6,5.585517545454545
500,6,5.7455295
500,7,5.419155076923076
500,7,5.423927916666666
500,8,6.83770057142857
500,8,6.5289309285714285
600,1,17.357102
600,1,15.626252099999997
600,2,9.712873636363636
600,2,10.9518059
600,3,7.153623230769233
600,3,6.454261076923076
600,4,6.607303181818183
600,4,6.5919347
600,5,8.085105
600,5,8.495055666666666
600,6,5.7191177999999985
600,6,5.558732444444444
600,7,7.807438500000001
600,7,7.5055085833333335
600,8,7.095043600000001
600,8,7.393101777777777
700,1,22.843814666666663
700,1,22.027669555555555
700,2,13.104713499999997
700,2,12.654082
700,3,7.879884799999999
700,3,7.1560106
700,4,7.183119461538462
700,4,6.825741153846154
700,5,7.660552
700,5,7.87567609090909
700,6,7.770886272727275
700,6,8.0567901
700,7,7.613161454545454
700,7,7.7274693
700,8,8.670756999999998
700,8,8.861955384615387
800,1,22.106867636363635
800,1,23.3554546
800,2,15.430443352941174
800,2,14.945381705882353
800,3,9.4096345
800,3,9.829156153846153
800,4,7.823781100000001
800,4,7.929947555555556
800,5,9.720927894736842
800,5,8.975273368421052
800,6,7.522142285714287
800,6,7.795384538461538
800,7,9.658859999999999
800,7,9.272054909090908
800,8,8.716093444444443
800,8,8.920901999999998
900,1,25.83199066666666
900,1,27.127372545454545
900,2,14.33545625
900,2,14.882891727272726
900,3,11.608963727272728
900,3,11.244406636363637
900,4,9.700012416666667
900,4,8.77184275
900,5,10.614192666666666
900,5,11.07284209090909
900,6,10.054681499999997
900,6,10.447725538461537
900,7,10.26408753846154
900,7,10.781830833333332
900,8,10.363475466666667
900,8,10.74161614285714
1000,1,24.920300181818185
1000,1,25.4963257
1000,2,13.755021499999998
1000,2,12.147863642857144
1000,3,13.744642428571428
1000,3,14.275136230769233
1000,4,9.639967555555556
1000,4,10.05722325
1000,5,9.615900588235295
1000,5,9.635166375
1000,6,10.483383318181817
1000,6,10.277298045454543
1000,7,14.749518153846152
1000,7,13.241396750000002
1000,8,10.364219818181818
1000,8,10.6557748
1100,1,27.41170875
1100,1,26.305334545454546
1100,2,17.004663133333334
1100,2,18.495214785714285
1100,3,12.801673083333334
1100,3,11.975985999999997
1100,4,11.741621142857142
1100,4,12.100043307692308
1100,5,11.084645250000001
1100,5,11.632747090909092
1100,6,11.220860333333334
1100,6,12.244140705882353
1100,7,11.00553875
1100,7,10.918148428571428
1100,8,10.916759785714289
1100,8,10.335421230769231
1200,1,34.82579977777778
1200,1,35.558542352941174
1200,2,17.541539142857143
1200,2,15.835033428571432
1200,3,13.770675352941181
1200,3,14.2132466875
1200,4,15.301583333333333
1200,4,15.877556999999998
1200,5,11.317289388888891
1200,5,10.387733888888889
1200,6,11.511141545454544
1200,6,11.8578055
1200,7,13.559662833333332
1200,7,14.093229000000001
1200,8,13.302793615384616
1200,8,14.167281416666668
1300,1,38.80761718181819
1300,1,40.877300299999995
1300,2,19.428855214285715
1300,2,19.159244
1300,3,15.529387222222226
1300,3,16.701660125000004
1300,4,14.818302083333334
1300,4,13.883904416666667
1300,5,12.829128916666667
1300,5,12.008124500000001
1300,6,16.329556047619047
1300,6,16.110501850000006
1300,7,14.471919999999999
1300,7,13.413338312499999
1300,8,13.680169529411762
1300,8,13.26346605882353
1400,1,36.86337399999999
1400,1,38.64866037499999
1400,2,26.2133469047619
1400,2,27.269514857142862
1400,3,18.574511833333332
1400,3,19.50583095652174
1400,4,13.313562500000002
1400,4,12.362746666666666
1400,5,14.041703583333332
1400,5,14.571306818181819
1400,6,15.311854549999998
1400,6,16.338286473684214
1400,7,13.857015529411767
1400,7,14.097360375000001
1400,8,17.31914392307692
1400,8,16.644356384615385
1500,1,42.9571033076923
1500,1,40.05418292307694
1500,2,26.2283613
1500,2,21.994626099999998
1500,3,20.330896636363637
1500,3,21.833105899999996
1500,4,17.803997888888887
1500,4,15.743528111111111
1500,5,16.37478266666667
1500,5,17.136153363636364
1500,6,17.931565615384617
1500,6,18.302589583333333
1500,7,17.003728750000004
1500,7,17.389688900000003
1500,8,15.920237000000002
1500,8,14.964832384615384
1600,1,43.972295124999995
1600,1,40.102279312499995
1600,2,24.206205714285712
1600,2,25.589259000000002
1600,1,40.436370999999994
1600,1,41.15152855555556
1600,2,22.130169
1600,2,23.57971469230769
1600,3,18.538069833333335
1600,3,18.92042809090909
1600,4,14.855455384615386
1600,4,15.58648441666667
1600,5,17.922370384615387
1600,5,18.79178775
1600,6,15.0252882
1600,6,16.040748555555556
1600,7,15.763829000000001
1600,7,17.01898727272727
1600,8,17.560498142857146
1600,8,19.27044669230769
1700,1,56.188209549999996
1700,1,56.56654485
1700,2,24.088102600000006
1700,2,26.96209022222222
1700,3,21.687715199999996
1700,3,19.4926287
1700,4,20.511566
1700,4,21.166882166666667
1700,5,15.448129571428572
1700,5,18.330409949999996
1700,6,17.173726999999996
1700,6,17.752834769230766
1700,7,17.82281317647059
1700,7,16.847659470588237
1700,8,18.087832153846154
1700,8,19.209348833333333
1800,1,39.42003652941177
1800,1,39.22490100000001
1800,2,28.360579769230768
1800,2,32.41004208333334
1800,3,20.950626083333336
1800,3,22.011256636363637
1800,4,19.89504763636364
1800,4,20.871911
1800,5,19.422996750000003
1800,5,20.844456636363635
1800,6,18.843907466666668
1800,6,18.386035999999997
1800,7,18.305237272727275
1800,7,18.723274545454547
1800,8,19.031196333333337
1800,8,20.49914125
1900,1,49.16466081818182
1900,1,52.7787002
1900,2,33.670571384615386
1900,2,31.85764123076924
1900,3,19.02604669565217
1900,3,19.3457825
1900,4,20.339794799999996
1900,4,21.469221842105256
1900,5,21.98284792857143
1900,5,20.180026571428574
1900,6,22.604396846153847
1900,6,20.180936307692313
1900,7,19.182266181818182
1900,7,19.290119
1900,8,16.64831493333333
1900,8,16.9713105
2000,1,51.06133284615385
2000,1,43.086339538461544
2000,2,31.44308884615384
2000,2,30.972017076923073
2000,3,25.512396125
2000,3,23.578136874999995
2000,4,20.23766184615385
2000,4,21.3070445
2000,5,23.613438727272726
2000,5,23.93824419047619
2000,6,20.93331390909091
2000,6,22.145920500000003
2000,7,22.331882133333334
2000,7,25.422955857142856
2000,8,20.025301153846154
2000,8,20.45821775
2100,1,49.6633307
2100,1,52.04466377777778
2100,2,33.430302499999996
2100,2,28.794488
2100,3,19.1100468
2100,3,19.667372444444442
2100,4,20.083016692307694
2100,4,18.658830538461537
2100,5,20.9690873
2100,5,22.181907777777774
2100,6,19.701333545454542
2100,6,20.984143800000002
2100,7,19.665069666666664
2100,7,20.735206124999994
2100,8,23.628550076923073
2100,8,22.956319500000003
2200,1,48.69756233333333
2200,1,50.25736581818182
2200,2,28.884849181818186
2200,2,30.831571600000007
2200,3,24.38196376470588
2200,3,25.424973941176475
2200,4,18.349442266666667
2200,4,18.880328571428574
2200,5,18.285035666666666
2200,5,17.55407157142857
2200,6,24.166453357142863
2200,6,21.284785357142855
2200,7,24.53193392307692
2200,7,24.853523750000004
2200,8,23.254515333333334
2200,8,24.627821125
